,mouse_lemur__gene_name,human__gene_name,mouse__gene_name,
1925,LOC105863565,RSRP1,Rsrp1,
1926,OCRL,OCRL,Ocrl,
1927,SPPL2A,SPPL2A,Sppl2a,
1928,ANKAR,ANKAR,Ankar,
1929,IREB2,IREB2,Ireb2,
1930,GINS4,GINS4,Gins4,
1931,NXT2,NXT2,Nxt2,
1932,XKR6,XKR6,Xkr6,
1933,ATF2,ATF2,Atf2,
1934,GLIS2,GLIS2,Glis2,
1935,MUL1,MUL1,Mul1,
1936,DNM2,DNM2,Dnm2,
1937,TLNRD1,TLNRD1,Tlnrd1,
1938,LAS1L,LAS1L,Las1l,
1939,MRPL16,MRPL16,Mrpl16,
1940,RDM1,RDM1,Rdm1,
1941,FEZF1,FEZF1,Fezf1,
1942,CFAP61,CFAP61,Cfap61,
1943,ANO10,ANO10,Ano10,
1944,TADA1,TADA1,Tada1,
1945,C2H1orf56,C1orf56,Gm128,
1946,FAM210A,FAM210A,Fam210a,
1947,EDARADD,EDARADD,Edaradd,
1948,KIAA0040,KIAA0040,4930523C07Rik,
1949,LRRC49,LRRC49,Lrrc49,
1950,CNTF,CNTF,Cntf,
1951,MRPS5,MRPS5,Mrps5,
1952,WDR43,WDR43,Wdr43,
1953,SPPL2C,SPPL2C,Sppl2c,
1954,ZBTB24,ZBTB24,Zbtb24,
1955,MAIP1,MAIP1,Maip1,
1956,NCOA4,NCOA4,Ncoa4,
1957,GPR173,GPR173,Gpr173,
1958,TMEM17,TMEM17,Tmem17,
1959,PARPBP,PARPBP,Parpbp,
1960,BAZ1B,BAZ1B,Baz1b,
1961,CATSPERZ,CATSPERZ,Catsperz,
1962,MOSPD2,MOSPD2,Mospd2,
1963,BBOF1,BBOF1,Bbof1,
1964,CSGALNACT1,CSGALNACT1,Csgalnact1,
1965,SLCO1C1,SLCO1C1,Slco1c1,
1966,NDUFB7,NDUFB7,Ndufb7,
1967,CCDC180,CCDC180,Ccdc180,
1968,PTX3,PTX3,Ptx3,
1969,TRIM62,TRIM62,Trim62,
1970,DNAJB14,DNAJB14,Dnajb14,
1971,EPB41L4B,EPB41L4B,Epb41l4b,
1972,UBE2D2,UBE2D2,Ube2d2a,
1973,SLC2A13,SLC2A13,Slc2a13,
1974,UBR2,UBR2,Ubr2,
1975,LYPLAL1,LYPLAL1,Lyplal1,
1976,CENPW,CENPW,Cenpw,
1977,FANCG,FANCG,Fancg,
1978,LOC105861075,KLC1,Klc1,
1979,TRAM2,TRAM2,Tram2,
1980,GOT1,GOT1,Got1,
1981,UBXN6,UBXN6,Ubxn6,
1982,SIM2,SIM2,Sim2,
1983,CDK3,CDK3,Cdk3,
1984,RFX4,RFX4,Rfx4,
1985,FAM117A,FAM117A,Fam117a,
1986,AQP6,AQP6,Aqp6,
1987,MTX3,MTX3,Mtx3,
1988,HDAC4,HDAC4,Hdac4,
1989,KCNJ2,KCNJ2,Kcnj2,
1990,MYH1,MYH1,Myh1,
1991,C14H6orf201,C6orf201,4933417A18Rik,
1992,ATP13A4,ATP13A4,Atp13a4,
1993,DHX57,DHX57,Dhx57,
1994,PAICS,PAICS,Paics,
1995,PGLYRP1,PGLYRP1,Pglyrp1,
1996,WASHC1,WASHC1,Washc1,
1997,TRDMT1,TRDMT1,Trdmt1,
1998,ALDH6A1,ALDH6A1,Aldh6a1,
1999,PACRG,PACRG,Pacrg,
2000,COL26A1,COL26A1,Col26a1,
2001,USP15,USP15,Usp15,
2002,COL1A1,COL1A1,Col1a1,
2003,C1RL,C1RL,C1rl,
2004,F11R,F11R,F11r,
2005,RUBCN,RUBCN,Rubcn,
2006,AFP,AFP,Afp,
2007,DNASE1L1,DNASE1L1,Dnase1l1,
2008,LNPK,LNPK,Lnpk,
2009,MSX1,MSX1,Msx1,
2010,CPNE4,CPNE4,Cpne4,
2011,GATD1,GATD1,Gatd1,
2012,SLC39A6,SLC39A6,Slc39a6,
2013,RFC3,RFC3,Rfc3,
2014,GGCX,GGCX,Ggcx,
2015,DHH,DHH,Dhh,
2016,GPR150,GPR150,Gpr150,
2017,TMEFF2,TMEFF2,Tmeff2,
2018,CALCRL,CALCRL,Calcrl,
2019,CALCA,CALCA,Calca,
2020,MYC,MYC,Myc,
2021,TAGLN3,TAGLN3,Tagln3,
2022,PANK3,PANK3,Pank3,
2023,BPIFB4,BPIFB4,Bpifb4,
2024,CLEC19A,CLEC19A,Gm32766,
2025,UGCG,UGCG,Ugcg,
2026,IRX4,IRX4,Irx4,
2027,GLG1,GLG1,Glg1,
2028,RAB1A,RAB1A,Rab1a,
2029,GP2,GP2,Gp2,
2030,CLEC4G,CLEC4G,Clec4g,
2031,ENPP4,ENPP4,Enpp4,
2032,PDGFC,PDGFC,Pdgfc,
2033,DNAJC16,DNAJC16,Dnajc16,
2034,C1GALT1,C1GALT1,C1galt1,
2035,DPCD,DPCD,Dpcd,
2036,AGT,AGT,Agt,
2037,LTBP2,LTBP2,Ltbp2,
2038,KNL1,KNL1,Knl1,
2039,DTX4,DTX4,Dtx4,
2040,EIF2B2,EIF2B2,Eif2b2,
2041,COQ10A,COQ10A,Coq10a,
2042,FCF1,FCF1,Fcf1,
2043,CRIPT,CRIPT,Cript,
2044,IBSP,IBSP,Ibsp,
2045,VAV2,VAV2,Vav2,
2046,SLC30A6,SLC30A6,Slc30a6,
2047,GABRQ,GABRQ,Gabrq,
2048,LOC105864048,CYB561D1,Cyb561d1,
2049,HSPA2,HSPA2,Hspa2,
2050,HCFC2,HCFC2,Hcfc2,
2051,RHBDD1,RHBDD1,Rhbdd1,
2052,POC5,POC5,Poc5,
2053,PHPT1,PHPT1,Phpt1,
2054,TBXAS1,TBXAS1,Tbxas1,
2055,SLC4A4,SLC4A4,Slc4a4,
2056,ZFP62,ZFP62,Zfp62,
2057,LDLR,LDLR,Ldlr,
2058,XPO6,XPO6,Xpo6,
2059,NECAP2,NECAP2,Necap2,
2060,USP6NL,USP6NL,Usp6nl,
2061,ST8SIA6,ST8SIA6,St8sia6,
2062,BRINP3,BRINP3,Brinp3,
2063,PSMB5,PSMB5,Psmb5,
2064,MYLK,MYLK,Mylk,
2065,GID8,GID8,Gid8,
2066,FAT2,FAT2,Fat2,
2067,LDB1,LDB1,Ldb1,
2068,ZNF282,ZNF282,Zfp282,
2069,RPS11,RPS11,Rps11,
2070,HSPA4,HSPA4,Hspa4,
2071,IL2,IL2,Il2,
2072,TRIM66,TRIM66,Trim66,
2073,MED18,MED18,Med18,
2074,SMCO3,SMCO3,Smco3,
2075,LOC105868169,CR2,Cr2,
2076,RFWD3,RFWD3,Rfwd3,
2077,ARHGAP5,ARHGAP5,Arhgap5,
2078,ADNP2,ADNP2,Adnp2,
2079,TM9SF2,TM9SF2,Tm9sf2,
2080,SLC25A34,SLC25A34,Slc25a34,
2081,RBM47,RBM47,Rbm47,
2082,CDH7,CDH7,Cdh7,
2083,CHRNA6,CHRNA6,Chrna6,
2084,TRNP1,TRNP1,Trnp1,
2085,LOC105886015,HLA-DOA,H2-Oa,
2086,HIVEP1,HIVEP1,Hivep1,
2087,PBX3,PBX3,Pbx3,
2088,TMEM181,TMEM181,Tmem181a,
2089,ZFAND1,ZFAND1,Zfand1,
2090,TMEM138,TMEM138,Tmem138,
2091,ADRB1,ADRB1,Adrb1,
2092,ECT2,ECT2,Ect2,
2093,TUT4,TUT4,Tut4,
2094,TMEM62,TMEM62,Tmem62,
2095,HOXB13,HOXB13,Hoxb13,
2096,LSM8,LSM8,Lsm8,
2097,TCF12,TCF12,Tcf12,
2098,WBP4,WBP4,Wbp4,
2099,ANGPTL6,ANGPTL6,Angptl6,
2100,MORF4L2,MORF4L2,Morf4l2,
2101,BORA,BORA,Bora,
2102,RTN4RL2,RTN4RL2,Rtn4rl2,
2103,BCL2L15,BCL2L15,Bcl2l15,
2104,ANKRD22,ANKRD22,Ankrd22,
2105,GPX3,GPX3,Gpx3,
2106,TEX30,TEX30,Tex30,
2107,ASH2L,ASH2L,Ash2l,
2108,NCKAP5L,NCKAP5L,Nckap5l,
2109,GZF1,GZF1,Gzf1,
2110,COCH,COCH,Coch,
2111,ECM2,ECM2,Ecm2,
2112,BATF3,BATF3,Batf3,
2113,BFSP2,BFSP2,Bfsp2,
2114,LOC109730255,COX7B,Cox7b,
2115,SLC22A1,SLC22A1,Slc22a1,
2116,ERCC8,ERCC8,Ercc8,
2117,SPACA1,SPACA1,Spaca1,
2118,ATP5MPL,ATP5MPL,Atp5mpl,
2119,RGS3,RGS3,Rgs3,
2120,LOC105859906,OR10A4,Olfr17,
2121,ADAMTS1,ADAMTS1,Adamts1,
2122,SOCS6,SOCS6,Socs6,
2123,ATP7B,ATP7B,Atp7b,
2124,C6H6orf89,C6orf89,BC004004,
2125,SLC2A10,SLC2A10,Slc2a10,
2126,PTBP1,PTBP1,Ptbp1,
2127,P3H4,P3H4,P3h4,
2128,IFT80,IFT80,Ift80,
2129,STOX1,STOX1,Stox1,
2130,DAPK1,DAPK1,Dapk1,
2131,ARID3C,ARID3C,Arid3c,
2132,LOC105882248,ANAPC2,Anapc2,
2133,CCDC159,CCDC159,Ccdc159,
2134,TRIM2,TRIM2,Trim2,
2135,TEX38,TEX38,Tex38,
2136,PEX16,PEX16,Pex16,
2137,DYM,DYM,Dym,
2138,PSME4,PSME4,Psme4,
2139,PIK3C2B,PIK3C2B,Pik3c2b,
2140,NDRG4,NDRG4,Ndrg4,
2141,PDE4A,PDE4A,Pde4a,
2142,FAM71A,FAM71A,Fam71a,
2143,EXOC2,EXOC2,Exoc2,
2144,ZFP90,ZFP90,Zfp90,
2145,GOLGA4,GOLGA4,Golga4,
2146,LSG1,LSG1,Lsg1,
2147,PPP1CA,PPP1CA,Ppp1ca,
2148,LBHD1,LBHD1,Lbhd1,
2149,ZNF830,ZNF830,Zfp830,
2150,NCAPD3,NCAPD3,Ncapd3,
2151,KLK10,KLK10,Klk10,
2152,NFXL1,NFXL1,Nfxl1,
2153,NEK9,NEK9,Nek9,
2154,SLC8A2,SLC8A2,Slc8a2,
2155,ATXN10,ATXN10,Atxn10,
2156,PAX2,PAX2,Pax2,
2157,SEC23B,SEC23B,Sec23b,
2158,RORC,RORC,Rorc,
2159,TMEM71,TMEM71,Tmem71,
2160,PDXDC1,PDXDC1,Pdxdc1,
2161,NKAPL,NKAPL,Nkapl,
2162,SNAP91,SNAP91,Snap91,
2163,MRM1,MRM1,Mrm1,
2164,LOC105864761,OR4Q3,Olfr735,
2165,HSPB8,HSPB8,Hspb8,
2166,SVIP,SVIP,Svip,
2167,R3HCC1,R3HCC1,R3hcc1,
2168,NREP,NREP,Nrep,
2169,SPATA21,SPATA21,Spata21,
2170,NEFH,NEFH,Nefh,
2171,MRO,MRO,Mro,
2172,STPG2,STPG2,Stpg2,
2173,VAX1,VAX1,Vax1,
2174,AMOTL2,AMOTL2,Amotl2,
2175,F2,F2,F2,
2176,RAB23,RAB23,Rab23,
2177,THOC6,THOC6,Thoc6,
2178,MACROD1,MACROD1,Macrod1,
2179,RIC3,RIC3,Ric3,
2180,MYH14,MYH14,Myh14,
2181,TMEM229B,TMEM229B,Tmem229b,
2182,CLPTM1,CLPTM1,Clptm1,
2183,NCKAP1,NCKAP1,Nckap1,
2184,LOC105878590,UQCC3,Uqcc3,
2185,LOC105886004,HLA-DMA,H2-DMa,
2186,AXIN1,AXIN1,Axin1,
2187,GPR137C,GPR137C,Gpr137c,
2188,LEF1,LEF1,Lef1,
2189,CLDN23,CLDN23,Cldn23,
2190,RTCA,RTCA,Rtca,
2191,LIG1,LIG1,Lig1,
2192,MFAP3L,MFAP3L,Mfap3l,
2193,LRRN2,LRRN2,Lrrn2,
2194,CRACR2A,CRACR2A,Cracr2a,
2195,CYP7B1,CYP7B1,Cyp7b1,
2196,LOC105872045,KRTAP17-1,Krtap17-1,
2197,POU6F2,POU6F2,Pou6f2,
2198,ZMAT3,ZMAT3,Zmat3,
2199,SAMD4A,SAMD4A,Samd4,
2200,CUL4A,CUL4A,Cul4a,
2201,SELE,SELE,Sele,
2202,ELAVL3,ELAVL3,Elavl3,
2203,BCDIN3D,BCDIN3D,Bcdin3d,
2204,UVSSA,UVSSA,Uvssa,
2205,JARID2,JARID2,Jarid2,
2206,ZNF804B,ZNF804B,Zfp804b,
2207,LOC105877737,HIRA,Hira,
2208,SLC29A4,SLC29A4,Slc29a4,
2209,ITPR2,ITPR2,Itpr2,
2210,CRLF3,CRLF3,Crlf3,
2211,TAF11,TAF11,Taf11,
2212,KHNYN,KHNYN,Khnyn,
2213,ZFAND5,ZFAND5,Zfand5,
2214,FANCD2,FANCD2,Fancd2,
2215,DRC1,DRC1,Drc1,
2216,DLK2,DLK2,Dlk2,
2217,DNAJC22,DNAJC22,Dnajc22,
2218,MED1,MED1,Med1,
2219,GPR68,GPR68,Gpr68,
2220,APPBP2,APPBP2,Appbp2,
2221,RARB,RARB,Rarb,
2222,LAD1,LAD1,Lad1,
2223,DLG5,DLG5,Dlg5,
2224,C10H9orf24,C9orf24,1110017D15Rik,
2225,COL4A2,COL4A2,Col4a2,
2226,LEAP2,LEAP2,Leap2,
2227,RRP1,RRP1,Rrp1,
2228,RCE1,RCE1,Rce1,
2229,CDK2AP2,CDK2AP2,Cdk2ap2,
2230,LOC105858368,ACOT6,Acot6,
2231,TMEM200C,TMEM200C,Tmem200c,
2232,SPRY1,SPRY1,Spry1,
2233,UBB,UBB,Ubb,
2234,C1QBP,C1QBP,C1qbp,
2235,NID2,NID2,Nid2,
2236,CRLF2,CRLF2,Crlf2,
2237,TMOD1,TMOD1,Tmod1,
2238,BNIP5,BNIP5,Bnip5,
2239,SPACA3,SPACA3,Spaca3,
2240,STMN4,STMN4,Stmn4,
2241,MFSD12,MFSD12,Mfsd12,
2242,CPEB4,CPEB4,Cpeb4,
2243,APBA1,APBA1,Apba1,
2244,PPP1R10,PPP1R10,Ppp1r10,
2245,ZNF597,ZNF597,Zfp597,
2246,LYSMD2,LYSMD2,Lysmd2,
2247,SLC2A8,SLC2A8,Slc2a8,
2248,SYAP1,SYAP1,Syap1,
2249,CREB3L2,CREB3L2,Creb3l2,
2250,TAF12,TAF12,Taf12,
2251,SYMPK,SYMPK,Sympk,
2252,NT5DC2,NT5DC2,Nt5dc2,
2253,FRY,FRY,Fry,
2254,LRP1B,LRP1B,Lrp1b,
2255,MICOS13,MICOS13,Micos13,
2256,GRM4,GRM4,Grm4,
2257,TESK1,TESK1,Tesk1,
2258,TFEC,TFEC,Tfec,
2259,INTS10,INTS10,Ints10,
2260,PSME3,PSME3,Psme3,
2261,SDK1,SDK1,Sdk1,
2262,HIGD1A,HIGD1A,Higd1a,
2263,PGD,PGD,Pgd,
2264,JAM3,JAM3,Jam3,
2265,TEPP,TEPP,Tepp,
2266,ZNF853,ZNF853,Zfp853,
2267,HIBCH,HIBCH,Hibch,
2268,PKD1,PKD1,Pkd1,
2269,MPPED2,MPPED2,Mpped2,
2270,ARL14EPL,ARL14EPL,Arl14epl,
2271,TEAD4,TEAD4,Tead4,
2272,BCL11A,BCL11A,Bcl11a,
2273,GPM6B,GPM6B,Gpm6b,
2274,HDGF,HDGF,Hdgf,
2275,ERLEC1,ERLEC1,Erlec1,
2276,TMEM249,TMEM249,Tmem249,
2277,ZFAND4,ZFAND4,Zfand4,
2278,LIPM,LIPM,Lipm,
2279,HOXA13,HOXA13,Hoxa13,
2280,ORC6,ORC6,Orc6,
2281,MANBAL,MANBAL,Manbal,
2282,LONP2,LONP2,Lonp2,
2283,LPXN,LPXN,Lpxn,
2284,NMUR1,NMUR1,Nmur1,
2285,LOC105868860,CYC1,Cyc1,
2286,CACNG1,CACNG1,Cacng1,
2287,FLNB,FLNB,Flnb,
2288,ESAM,ESAM,Esam,
2289,ATXN2L,ATXN2L,Atxn2l,
2290,SSTR3,SSTR3,Sstr3,
2291,DRC3,DRC3,Drc3,
2292,TIMM21,TIMM21,Timm21,
2293,KLF1,KLF1,Klf1,
2294,C1GALT1C1,C1GALT1C1,C1galt1c1,
2295,STRN3,STRN3,Strn3,
2296,FUT4,FUT4,Fut4,
2297,CHRNB3,CHRNB3,Chrnb3,
2298,SERPINF2,SERPINF2,Serpinf2,
2299,TRIM9,TRIM9,Trim9,
2300,MYADML2,MYADML2,Myadml2,
2301,MS4A18,MS4A18,Ms4a18,
2302,FAM102A,FAM102A,Fam102a,
2303,ELN,ELN,Eln,
2304,ZC3H4,ZC3H4,Zc3h4,
2305,CACTIN,CACTIN,Cactin,
2306,FRAT1,FRAT1,Frat1,
2307,ZAR1L,ZAR1L,Zar1l,
2308,C7H12orf4,C12orf4,D6Wsu163e,
2309,MASTL,MASTL,Mastl,
2310,UBXN7,UBXN7,Ubxn7,
2311,PGM2L1,PGM2L1,Pgm2l1,
2312,KRT20,KRT20,Krt20,
2313,PIK3C2G,PIK3C2G,Pik3c2g,
2314,IRS1,IRS1,Irs1,
2315,KIFC3,KIFC3,Kifc3,
2316,ASAP2,ASAP2,Asap2,
2317,CHCHD5,CHCHD5,Chchd5,
2318,PEX6,PEX6,Pex6,
2319,ZIK1,ZIK1,Zik1,
2320,GGT6,GGT6,Ggt6,
2321,IFNB1,IFNB1,Ifnb1,
2322,PSMB9,PSMB9,Psmb9,
2323,OSMR,OSMR,Osmr,
2324,BASP1,BASP1,Basp1,
2325,SLC38A8,SLC38A8,Slc38a8,
2326,MARS2,MARS2,Mars2,
2327,WNT1,WNT1,Wnt1,
2328,LOC105883828,COL23A1,Col23a1,
2329,MSANTD4,MSANTD4,Msantd4,
2330,ZFAND6,ZFAND6,Zfand6,
2331,NEURL3,NEURL3,Neurl3,
2332,GORASP2,GORASP2,Gorasp2,
2333,HAUS7,HAUS7,Haus7,
2334,VPS45,VPS45,Vps45,
2335,ALG14,ALG14,Alg14,
2336,JMJD8,JMJD8,Jmjd8,
2337,SCRIB,SCRIB,Scrib,
2338,SNX31,SNX31,Snx31,
2339,MITD1,MITD1,Mitd1,
2340,PBDC1,PBDC1,Pbdc1,
2341,ABCG2,ABCG2,Abcg2,
2342,NUP85,NUP85,Nup85,
2343,SMTNL2,SMTNL2,Smtnl2,
2344,ADAMTS12,ADAMTS12,Adamts12,
2345,C5H11orf42,C11orf42,Gm5901,
2346,MADD,MADD,Madd,
2347,RNASE11,RNASE11,Rnase11,
2348,TMEM81,TMEM81,Tmem81,
2349,CENPL,CENPL,Cenpl,
2350,HYDIN,HYDIN,Hydin,
2351,LRFN4,LRFN4,Lrfn4,
2352,MTBP,MTBP,Mtbp,
2353,MFAP3,MFAP3,Mfap3,
2354,FRMD3,FRMD3,Frmd3,
2355,CRAT,CRAT,Crat,
2356,PPP1R26,PPP1R26,Ppp1r26,
2357,GRB14,GRB14,Grb14,
2358,PALMD,PALMD,Palmd,
2359,AP1AR,AP1AR,Ap1ar,
2360,CITED4,CITED4,Cited4,
2361,PRPF8,PRPF8,Prpf8,
2362,ARHGAP4,ARHGAP4,Arhgap4,
2363,SPATA1,SPATA1,Spata1,
2364,LAMC1,LAMC1,Lamc1,
2365,PDGFD,PDGFD,Pdgfd,
2366,MYH15,MYH15,Myh15,
2367,SV2C,SV2C,Sv2c,
2368,SVOPL,SVOPL,Svopl,
2369,ISM1,ISM1,Ism1,
2370,SLC39A1,SLC39A1,Slc39a1,
2371,MTA1,MTA1,Mta1,
2372,IL18R1,IL18R1,Il18r1,
2373,ERCC6L,ERCC6L,Ercc6l,
2374,HPRT1,HPRT1,Hprt,
2375,SLC26A10,SLC26A10,Slc26a10,
2376,METAP2,METAP2,Metap2,
2377,PIGB,PIGB,Pigb,
2378,CPZ,CPZ,Cpz,
2379,WDR97,WDR97,Gm35339,
2380,LRRC14,LRRC14,Lrrc14,
2381,CDC42EP1,CDC42EP1,Cdc42ep1,
2382,ADAMTS13,ADAMTS13,Adamts13,
2383,LRRC73,LRRC73,Lrrc73,
2384,COL8A2,COL8A2,Col8a2,
2385,CDC45,CDC45,Cdc45,
2386,HTR2B,HTR2B,Htr2b,
2387,EXOC8,EXOC8,Exoc8,
2388,TSTA3,TSTA3,Tsta3,
2389,CAVIN2,CAVIN2,Cavin2,
2390,AATF,AATF,Aatf,
2391,TEAD1,TEAD1,Tead1,
2392,YRDC,YRDC,Yrdc,
2393,SMIM10L1,SMIM10L1,Smim10l1,
2394,KIF3A,KIF3A,Kif3a,
2395,SLC41A1,SLC41A1,Slc41a1,
2396,HP1BP3,HP1BP3,Hp1bp3,
2397,MSANTD1,MSANTD1,Msantd1,
2398,MSL1,MSL1,Msl1,
2399,ZNF18,ZNF18,Zkscan6,
2400,BCL2L12,BCL2L12,Bcl2l12,
2401,ASCC1,ASCC1,Ascc1,
2402,PRND,PRND,Prnd,
2403,CTBP1,CTBP1,Ctbp1,
2404,CNN2,CNN2,Cnn2,
2405,DKKL1,DKKL1,Dkkl1,
2406,OPN4,OPN4,Opn4,
2407,GCFC2,GCFC2,Gcfc2,
2408,ADCY10,ADCY10,Adcy10,
2409,CCL1,CCL1,Ccl1,
2410,ATP6V1C2,ATP6V1C2,Atp6v1c2,
2411,NFKBIZ,NFKBIZ,Nfkbiz,
2412,ITPRIPL1,ITPRIPL1,Itpripl1,
2413,NPTN,NPTN,Nptn,
2414,COPB1,COPB1,Copb1,
2415,CLEC16A,CLEC16A,Clec16a,
2416,PRDM12,PRDM12,Prdm12,
2417,PPP1R8,PPP1R8,Ppp1r8,
2418,PHF23,PHF23,Phf23,
2419,FMR1,FMR1,Fmr1,
2420,LAMTOR1,LAMTOR1,Lamtor1,
2421,HMGCLL1,HMGCLL1,Hmgcll1,
2422,S1PR2,S1PR2,S1pr2,
2423,KRT5,KRT5,Krt5,
2424,COL5A2,COL5A2,Col5a2,
2425,TMEM205,TMEM205,Tmem205,
2426,MINAR1,MINAR1,Minar1,
2427,P3H3,P3H3,P3h3,
2428,INTS13,INTS13,Ints13,
2429,LXN,LXN,Lxn,
2430,SH2D7,SH2D7,Sh2d7,
2431,SKIDA1,SKIDA1,Skida1,
2432,CCND1,CCND1,Ccnd1,
2433,CDV3,CDV3,Cdv3,
2434,OSBPL3,OSBPL3,Osbpl3,
2435,RPUSD1,RPUSD1,Rpusd1,
2436,ULK3,ULK3,Ulk3,
2437,SLC38A4,SLC38A4,Slc38a4,
2438,TNMD,TNMD,Tnmd,
2439,FERMT1,FERMT1,Fermt1,
2440,NTN1,NTN1,Ntn1,
2441,PRMT8,PRMT8,Prmt8,
2442,SAR1B,SAR1B,Sar1b,
2443,PAIP2B,PAIP2B,Paip2b,
2444,ZNF239,ZNF239,Zfp239,
2445,SNX20,SNX20,Snx20,
2446,RXRA,RXRA,Rxra,
2447,ALKBH7,ALKBH7,Alkbh7,
2448,CABYR,CABYR,Cabyr,
2449,TP53,TP53,Trp53,
2450,LGALS3BP,LGALS3BP,Lgals3bp,
2451,C17H1orf198,C1orf198,2310022B05Rik,
2452,EIF3F,EIF3F,Eif3f,
2453,DUSP28,DUSP28,Dusp28,
2454,DIMT1,DIMT1,Dimt1,
2455,PPP2R1A,PPP2R1A,Ppp2r1a,
2456,LBX2,LBX2,Lbx2,
2457,CDH4,CDH4,Cdh4,
2458,TUSC1,TUSC1,Tusc1,
2459,CFAP77,CFAP77,Cfap77,
2460,MRPL13,MRPL13,Mrpl13,
2461,KLC2,KLC2,Klc2,
2462,HHIP,HHIP,Hhip,
2463,PTCH1,PTCH1,Ptch1,
2464,NR6A1,NR6A1,Nr6a1,
2465,ASPHD2,ASPHD2,Asphd2,
2466,PCDH19,PCDH19,Pcdh19,
2467,TNFRSF4,TNFRSF4,Tnfrsf4,
2468,CCDC8,CCDC8,Ccdc8,
2469,LMOD2,LMOD2,Lmod2,
2470,SIL1,SIL1,Sil1,
2471,DUSP5,DUSP5,Dusp5,
2472,ATF4,ATF4,Atf4,
2473,TPBGL,TPBGL,Tpbgl,
2474,SSB,SSB,Ssb,
2475,EIF4G1,EIF4G1,Eif4g1,
2476,TP63,TP63,Trp63,
2477,STK24,STK24,Stk24,
2478,C2CD4D,C2CD4D,C2cd4d,
2479,LLPH,LLPH,Llph,
2480,LOC105862413,OR6Y1,Olfr220,
2481,SPTBN4,SPTBN4,Sptbn4,
2482,CHRM1,CHRM1,Chrm1,
2483,CD101,CD101,Cd101,
2484,CYSRT1,CYSRT1,Cysrt1,
2485,C31H21orf58,C21orf58,2610028H24Rik,
2486,FGF11,FGF11,Fgf11,
2487,TCAF1,TCAF1,Tcaf1,
2488,ADCY4,ADCY4,Adcy4,
2489,SOX7,SOX7,Sox7,
2490,BHMT2,BHMT2,Bhmt2,
2491,UGDH,UGDH,Ugdh,
2492,HAGHL,HAGHL,Haghl,
2493,PRDM16,PRDM16,Prdm16,
2494,SMOX,SMOX,Smox,
2495,FOXN1,FOXN1,Foxn1,
2496,EVL,EVL,Evl,
2497,NKAPD1,NKAPD1,Nkapd1,
2498,CBLC,CBLC,Cblc,
2499,SAMD14,SAMD14,Samd14,
2500,ALDOC,ALDOC,Aldoc,
2501,CD300LG,CD300LG,Cd300lg,
2502,CHST8,CHST8,Chst8,
2503,SCN2B,SCN2B,Scn2b,
2504,TNP1,TNP1,Tnp1,
2505,ARF6,ARF6,Arf6,
2506,DHX58,DHX58,Dhx58,
2507,SGPL1,SGPL1,Sgpl1,
2508,DAPK3,DAPK3,Dapk3,
2509,LOC105884957,CKAP5,Ckap5,
2510,ANKUB1,ANKUB1,Ankub1,
2511,CCDC71L,CCDC71L,Ccdc71l,
2512,PRKAB1,PRKAB1,Prkab1,
2513,SERF2,SERF2,Serf2,
2514,XPO5,XPO5,Xpo5,
2515,MMP11,MMP11,Mmp11,
2516,IPO11,IPO11,Ipo11,
2517,ODF4,ODF4,Odf4,
2518,TTC9,TTC9,Ttc9,
2519,TMEM192,TMEM192,Tmem192,
2520,BRDT,BRDT,Brdt,
2521,HHAT,HHAT,Hhat,
2522,BAALC,BAALC,Baalc,
2523,CYTH4,CYTH4,Cyth4,
2524,DCAF15,DCAF15,Dcaf15,
2525,AKAP10,AKAP10,Akap10,
2526,FARSA,FARSA,Farsa,
2527,CAPN11,CAPN11,Capn11,
2528,TGM5,TGM5,Tgm5,
2529,LARGE2,LARGE2,Large2,
2530,C8H2orf66,C2orf66,Gm34066,
2531,EMX2,EMX2,Emx2,
2532,AKR1D1,AKR1D1,Akr1d1,
2533,TCHP,TCHP,Tchp,
2534,EMC6,EMC6,Emc6,
2535,TTC3,TTC3,Ttc3,
2536,ARHGEF17,ARHGEF17,Arhgef17,
2537,SMIM19,SMIM19,Smim19,
2538,SKA2,SKA2,Ska2,
2539,STX18,STX18,Stx18,
2540,MAP3K7CL,MAP3K7CL,Map3k7cl,
2541,MEIS2,MEIS2,Meis2,
2542,CHDH,CHDH,Chdh,
2543,HDHD3,HDHD3,Hdhd3,
2544,BECN1,BECN1,Becn1,
2545,PPP1R3B,PPP1R3B,Ppp1r3b,
2546,DHX36,DHX36,Dhx36,
2547,SLC25A10,SLC25A10,Slc25a10,
2548,PNMA2,PNMA2,Pnma2,
2549,QPRT,QPRT,Qprt,
2550,FASTK,FASTK,Fastk,
2551,MTNR1B,MTNR1B,Mtnr1b,
2552,CENPN,CENPN,Cenpn,
2553,PNMT,PNMT,Pnmt,
2554,KHDC4,KHDC4,Khdc4,
2555,ADPRH,ADPRH,Adprh,
2556,TMCO3,TMCO3,Tmco3,
2557,CDKN2AIPNL,CDKN2AIPNL,Cdkn2aipnl,
2558,ATP2C2,ATP2C2,Atp2c2,
2559,TMPRSS5,TMPRSS5,Tmprss5,
2560,PHOSPHO1,PHOSPHO1,Phospho1,
2561,C5H11orf87,C11orf87,AI593442,
2562,MTHFD2L,MTHFD2L,Mthfd2l,
2563,ATP6V1B2,ATP6V1B2,Atp6v1b2,
2564,EBAG9,EBAG9,Ebag9,
